input,output
How do you check the status of the systemd journal?,Use 'journalctl --disk-usage' command.
What command is used to view the last boot time?,Use 'who -b' command.
How do you check the system's time zone?,Use 'timedatectl' command.
What command is used to change the time zone?,Use 'timedatectl set-timezone Region/City' command.
How do you synchronize the system clock with NTP?,Use 'timedatectl set-ntp true' command.
What command is used to check the system's locale settings?,Use 'locale' command.
How do you change the system's locale?,Edit the '/etc/locale.gen' file and run 'locale-gen' command.
What command is used to check the system's active network connections?,Use 'ss -tuln' or 'netstat -tuln' command.
How do you check the status of a specific network interface?,Use 'ip addr show interface_name' command.
What command is used to display the ARP table?,Use 'arp -a' command.
How do you check the DNS resolution?,Use 'dig domain_name' or 'nslookup domain_name' command.
What command is used to test network connectivity?,Use 'ping domain_name' or 'ping IP_address' command.
How do you check the speed of a network connection?,Use 'iperf' or 'speedtest-cli' command.
What command is used to view the system's firewall rules?,Use 'iptables -L' or 'ufw status verbose' command.
How do you allow traffic on a specific port using iptables?,Use 'iptables -A INPUT -p tcp --dport port_number -j ACCEPT' command.
What command is used to save iptables rules?,Use 'iptables-save > /etc/iptables/rules.v4' command.
How do you restore iptables rules?,Use 'iptables-restore < /etc/iptables/rules.v4' command.
What command is used to check the status of SELinux?,Use 'sestatus' command.
How do you enable SELinux?,Edit the '/etc/selinux/config' file and set 'SELINUX=enforcing' command.
What command is used to check the status of AppArmor?,Use 'sudo aa-status' command.
How do you enable AppArmor?,Use 'sudo systemctl enable apparmor' and 'sudo systemctl start apparmor' command.
What command is used to check the system's installed kernel modules?,Use 'lsmod' command.
How do you load a kernel module?,Use 'modprobe module_name' command.
What command is used to unload a kernel module?,Use 'modprobe -r module_name' command.
How do you check the system's CPU information?,Use 'lscpu' command.
What command is used to check the system's RAM information?,Use 'free -h' command.
How do you check the system's GPU information?,Use 'lspci | grep VGA' command.
How do you check the system's file system usage?,Use 'df -h' command.
What command is used to check the system's file system free space?,Use 'df -h' command.
How do you check the system's file system used space?,Use 'df -h' command.
What command is used to check the system's file system available space?,Use 'df -h' command.
How do you check the system's file system type?,Use 'df -T' command.
How do you check the system's file system mount point?,Use 'df -h' command.
What command is used to check the system's file system status?,Use 'df -h' command.
How do you check the system's file system errors?,Use 'fsck /dev/sdXn' command.
How do you check the system's file system performance?,Use 'iostat' command.
What command is used to check the system's file system latency?,Use 'iostat -x' command.
How do you check the system's file system throughput?,Use 'iostat -p ALL' command.
How do you check the system's file system read/write speed?,Use 'dd if=/dev/zero of=testfile bs=1G count=1 oflag=direct; rm testfile' command.
What command is used to check the system's file system UUID?,Use 'blkid' command.
How do you check the system's file system label?,"Use 'lsblk -o NAME,LABEL' command."
question,response
How do I list all files in a directory?,Use the 'ls' command to list all files in a directory.
What command is used to change file permissions?,The 'chmod' command is used to change file permissions.
How can I search for a specific text in files?,You can use the 'grep' command to search for specific text in files.
What is the command to check disk usage?,Use the 'df' command to check disk usage.
How do I kill a process in Linux?,You can kill a process using the 'kill' command followed by the process ID.
question,response
What command displays the current working directory?,pwd
How do you list all files including hidden ones in Linux?,ls -a
What does the 'ls -l' command do?,"It lists files in long format showing permissions, number of links, owner, group, size, date, and name."
How do you create a new directory in Linux?,mkdir directory_name
How to remove a directory in Linux?,rmdir directory_name (for empty directories) or rm -r directory_name
What command creates an empty file or updates a file's timestamp?,touch filename
How do you view the contents of a file in the terminal?,cat filename
What command shows running processes?,ps
How to display real-time running processes?,top or htop
What does the 'kill' command do?,It is used to terminate a process by its PID.
How do you change the current directory in Linux?,cd directory_path
What command gives you information about memory usage?,free
How to check disk space usage in Linux?,df -h
What does the 'du' command stand for and do?,Disk Usage; it shows the size of directories/files.
How to copy a file in Linux?,cp source_file destination
How to move or rename a file in Linux?,mv old_name new_name
How to remove a file in Linux?,rm filename
What does the 'man' command do?,Displays the manual pages for a command.
How do you find out your username in Linux?,whoami
What command shows system uptime and users?,uptime
What does the 'echo' command do?,Outputs the given string or variable to the terminal or a file.
How to redirect output to a file?,command > filename
How to append output to a file instead of overwriting?,command >> filename
What does 'grep' do?,Searches for patterns in files or input.
How to search recursively in directories using grep?,grep -r 'pattern' directory
What does the 'find' command do?,"Finds files and directories based on criteria like name, type, size, etc."
How to compress a file into a .tar.gz archive?,tar -czvf archive.tar.gz file_or_directory
How to extract from a .tar.gz archive?,tar -xzvf archive.tar.gz
What does 'chmod' do?,Changes file or directory permissions.
"How to give read, write, execute permission to owner only?",chmod 700 filename
What is the purpose of 'chown'?,Changes the owner and/or group of a file.
How to switch to another user in Linux?,su username
What does 'sudo' mean and do?,SuperUser Do; allows executing commands with elevated privileges.
How to install packages in Debian/Ubuntu systems?,sudo apt install package_name
How to update package lists in Ubuntu/Debian?,sudo apt update
How to remove a package in Ubuntu/Debian?,sudo apt remove package_name
What command checks if a service is running in systemd systems?,systemctl status service_name
How to start a service in Linux?,sudo systemctl start service_name
How to enable a service at boot time?,sudo systemctl enable service_name
What command is used to download files from the web?,wget URL
How to use curl to download a file?,curl -O URL
What does the 'ping' command do?,Tests network connectivity to a host.
How to check open ports and connections?,netstat -tuln or ss -tuln
What does SSH stand for and what is it used for?,Secure Shell; used to securely connect to remote servers.
How to connect to a remote server via SSH?,ssh username@hostname
What is the 'scp' command used for?,Securely copies files between hosts.
How to archive multiple files into a .tar file?,tar -cvf archive.tar file1 file2 ...
What is the difference between '>' and '>>'?,"'>' overwrites the file, '>>' appends to it."
How to display the first few lines of a file?,head filename
How to display the last few lines of a file?,tail filename
What does 'tail -f' do?,"Follows the end of a file in real time, useful for logs."
"How to count the number of lines, words, and characters in a file?",wc filename
What does the 'sort' command do?,Sorts the contents of a file line by line.
How to remove duplicate lines from a sorted file?,uniq filename
What is piping in Linux and how is it done?,Sends the output of one command as input to another: command1 | command2
How to display the manual page for a command?,man command
What does the 'which' command do?,Locates the executable path of a command.
How to find where a command is located?,which command_name
What is the 'locate' command used for?,Quickly finds files by name using a prebuilt database.
How to run a command in the background?,Add & at the end of the command.
How to bring a background job to the foreground?,fg %job_number
What does 'jobs' command do?,Lists all background jobs in the current shell session.
How to schedule a command to run once after reboot?,at now + 1 minute then enter command
What command is used to edit scheduled tasks (cron jobs)?,crontab -e
How to view current cron jobs?,crontab -l
What does the 'date' command do?,Displays or sets the system date and time.
How to display calendar in Linux?,cal
What is the 'uname' command used for?,Displays system information like kernel version.
How to display IP addresses assigned to interfaces?,ip addr show or ifconfig
What does 'hostname' command do?,Displays or sets the hostname of the machine.
How to add a new user in Linux?,sudo adduser username
How to delete a user in Linux?,sudo deluser username
What is the 'passwd' command used for?,Sets or changes a user's password.
What is the /etc/passwd file?,Contains user account information.
What is the /etc/shadow file?,Stores encrypted passwords and related info.
How to check which groups a user belongs to?,groups username
How to add a user to a group?,sudo usermod -aG groupname username
What does 'id' command do?,Shows user and group IDs of the current or specified user.
How to display environment variables?,printenv or env
What is the 'export' command used for?,Exports a shell variable so it becomes an environment variable.
How to set an environment variable temporarily?,export VAR_NAME=value
How to permanently set environment variables?,Add export VAR_NAME=value to ~/.bashrc or ~/.bash_profile
What is the 'history' command used for?,Displays previously executed commands.
How to clear bash history?,history -c
What does the 'alias' command do?,Creates shortcut names for other commands.
How to create a temporary alias?,alias short='long command'
How to remove an alias?,unalias alias_name
What does 'ln' command do?,Creates hard or symbolic links between files.
How to create a symbolic link?,ln -s target link_name
What is the difference between hard and soft links?,Soft links are shortcuts that can cross filesystems; hard links are direct references to the same inode.
What is the 'tee' command used for?,Reads from standard input and writes to both standard output and files.
How to send output to both screen and file?,command | tee output.txt
What does 'cut' command do?,Cuts sections from each line of files or input.
How to print specific columns from a file?,"cut -d',' -f2 filename (prints second column)"
What is the 'tr' command used for?,Translates or deletes characters from input.
How to convert all letters to uppercase in Linux?,tr 'a-z' 'A-Z'
What is the 'diff' command used for?,Compares two files line by line.
How to compare two directories recursively?,diff -r dir1 dir2
What does the 'rsync' command do?,Synchronizes files and directories locally or across networks efficiently.
How to sync two directories in Linux?,rsync -av source_dir destination_dir
What is the 'mount' command used for?,Mounts a storage device or filesystem.
How to unmount a mounted filesystem?,umount mount_point
What does 'df' command stand for?,Disk Free; shows free disk space.
What does 'du' command stand for?,Disk Usage; shows file/directory sizes.
How to see detailed help for a command?,command --help
What is the 'whereis' command used for?,"Locates binaries, sources, and manual pages for a command."
How to find the process ID of a running program?,pidof program_name or ps aux | grep program_name
What is the 'killall' command used for?,Kills all processes with a given name.
How to suspend a foreground process?,Ctrl+Z
How to resume a suspended process in the background?,bg %job_id
How to resume a suspended process in the foreground?,fg %job_id
What does 'nohup' do?,Runs a command immune to hangups; keeps it running after logout.
How to check the version of a Linux distribution?,cat /etc/os-release or lsb_release -d
What is the 'dmidecode' command used for?,"Displays hardware information like BIOS, CPU, RAM."
How to display kernel version in Linux?,uname -r
What does 'uname -m' show?,Machine architecture (like x86_64).
How to display total system memory?,free -m
What does the 'lsof' command do?,Lists open files and the processes that opened them.
How to see all open files by a specific user?,lsof -u username
What is the 'parted' command used for?,Partition manipulation tool.
How to check file system type in Linux?,df -Th
What does 'fdisk -l' do?,Lists all partitions and disks connected to the system.
What is the 'mkfs' command used for?,Formats a partition with a specified file system.
How to create a swap space in Linux?,mkswap /dev/partition then swapon /dev/partition
What does 'swapon' do?,Activates swap space.
What is the 'dd' command used for?,"Used to copy files and convert data, often used for disk imaging."
How to clone a disk using dd?,"dd if=/dev/sda of=/dev/sdb bs=64K conv=noerror,sync"
What is the 'iptables' command used for?,Configures firewall rules in Linux.
How to flush all iptables rules?,iptables -F
What is the 'ufw' command used for?,Uncomplicated Firewall; simplifies managing firewall rules.
How to allow port 80 in ufw?,sudo ufw allow 80
What does 'journalctl' do in systemd systems?,Queries and displays logs from the journal.
How to view logs for a specific service?,journalctl -u service_name
What does 'last' command do?,Shows recent login history.
How to view failed login attempts?,lastb
What does 'who' command do?,Displays who is logged in.
What is the 'w' command used for?,Shows who is logged in and what they're doing.
How to display the hostname of the machine?,hostname
What does the 'nslookup' command do?,Queries DNS to get domain name or IP address mapping.
How to check DNS resolution for a domain?,dig domain.com
What is the 'host' command used for?,Performs DNS lookups.
How to trace the route packets take to a destination?,traceroute destination
What is the 'arp' command used for?,Displays or manipulates ARP cache entries.
How to display all listening ports and associated programs?,netstat -tulnp or ss -tulnp
What does 'tcpdump' do?,Captures and analyzes network traffic.
How to capture packets on an interface using tcpdump?,sudo tcpdump -i eth0
What is the 'nc' (Netcat) command used for?,Reads and writes network connections using TCP or UDP.
How to test if a port is open on a remote server?,nc -zv host port
What is the 'screen' command used for?,Allows multiple terminal sessions within one window.
How to start a new screen session?,screen
How to detach from a screen session?,Ctrl+A then D
How to reattach to a screen session?,screen -r
What is the 'tmux' command?,Terminal multiplexer similar to screen but more modern.
How to start a tmux session?,tmux new -s session_name
How to detach from a tmux session?,Ctrl+B then D
How to list active tmux sessions?,tmux ls
How to kill a tmux session?,tmux kill-session -t session_name
What is the 'watch' command used for?,Executes a command repeatedly at intervals.
How to monitor free memory every 2 seconds?,watch -n 2 free -m
What does 'yes' command do?,Outputs a continuous stream of 'y' or given string.
How to automatically answer yes to prompts?,yes | command
What is the 'bc' command used for?,Basic calculator for command-line math operations.
How to perform simple arithmetic in Linux terminal?,echo '5+3' | bc
What does 'seq' command do?,Generates a sequence of numbers.
How to generate numbers from 1 to 10?,seq 1 10
What is the 'expr' command used for?,"Evaluates expressions, mostly arithmetic and logical."
How to calculate 5 * 3 using expr?,expr 5 \* 3
What is the 'awk' command used for?,Text processing and pattern scanning language.
How to print the first field of a line using awk?,awk '{print $1}' filename
What is the 'sed' command used for?,Stream editor for filtering and transforming text.
How to replace all occurrences of 'hello' with 'hi' in a file?,sed 's/hello/hi/g' filename
What does 'xargs' do?,Builds and executes command lines from input.
How to pass output of one command as arguments to another?,command1 | xargs command2
What is the 'basename' command used for?,Strips directory and suffix from filenames.
How to get just the filename from a full path?,basename /path/to/file.txt
What is the 'dirname' command used for?,Returns the directory portion of a file path.
How to get the directory name from a full path?,dirname /path/to/file.txt
What is the 'readlink' command used for?,Resolves symbolic links.
How to get the real path of a symlink?,readlink -f symlink
What is the 'file' command used for?,Determines the type of a file.
How to check what kind of file something is?,file filename
What is the 'strings' command used for?,Prints printable strings from binary files.
How to extract readable text from a binary?,strings binary_file
What does 'od' command do?,Octal Dump; displays files in octal and other formats.
How to view a file in hexadecimal format?,od -x filename
What is the 'split' command used for?,Splits a file into smaller chunks.
How to split a large file into 10MB parts?,split -b 10m largefile part_
What is the 'join' command used for?,Joins lines of two files on a common field.
How to merge two files based on a common key?,join file1 file2
What is the 'paste' command used for?,Merges lines of files side by side.
How to combine two files line by line?,paste file1 file2
What does the 'comm' command do?,Compares two sorted files line by line.
How to find lines common to two sorted files?,comm -12 file1 file2
What is the 'fmt' command used for?,Simple text formatter for wrapping paragraphs.
How to reformat a paragraph to fit 80 columns?,fmt -w 80 file.txt
What is the 'fold' command used for?,Wraps each line to fit a specified width.
How to wrap text to 50 characters per line?,fold -w 50 file.txt
What is the 'nl' command used for?,Numbers lines of files.
How to add line numbers to a file?,nl filename
What is the 'pr' command used for?,Prepares text for printing by adding headers and pagination.
How to paginate a file for printing?,pr filename
What is the 'iconv' command used for?,Converts text encoding between character sets.
How to convert a file from UTF-8 to ISO-8859-1?,iconv -f UTF-8 -t ISO-8859-1 input.txt -o output.txt
What does the 'truncate' command do?,Shrinks or extends the size of a file to the specified size.
How to truncate a file to zero length?,truncate -s 0 filename
What is the 'sha256sum' command used for?,Generates or verifies SHA-256 checksums.
How to verify the integrity of a downloaded file?,sha256sum -c checksum_file
What is the 'md5sum' command used for?,Generates or verifies MD5 checksums.
How to compare MD5 hashes of two files?,md5sum file1 file2
What is the 'gpg' command used for?,GNU Privacy Guard; used for encryption and signing.
How to encrypt a file with GPG?,gpg -c filename
How to decrypt a GPG-encrypted file?,gpg -d filename.gpg
What is the 'zip' command used for?,Compresses files into ZIP archives.
How to zip a directory?,zip -r archive.zip directory_name
What is the 'unzip' command used for?,Extracts files from ZIP archives.
How to extract a ZIP file?,unzip archive.zip
What is the 'gzip' command used for?,Compresses individual files.
How to compress a file using gzip?,gzip filename
What is the 'gunzip' command used for?,Decompresses gzip-compressed files.
How to decompress a .gz file?,gunzip filename.gz
What is the 'xz' command used for?,High compression ratio file compressor.
How to compress a file with xz?,xz filename
What is the 'unxz' command used for?,Decompresses xz-compressed files.
How to decompress an .xz file?,unxz filename.xz
What is the 'bzip2' command used for?,File compression tool offering better compression than gzip.
How to compress a file using bzip2?,bzip2 filename
What is the 'bunzip2' command used for?,Decompresses bzip2-compressed files.
How to decompress a .bz2 file?,bunzip2 filename.bz2
What is the 'tar' command used for?,"Tape Archive; combines files into one archive, often compressed."
How to create a tar archive without compression?,tar -cvf archive.tar file1 file2
How to extract a .tar file?,tar -xvf archive.tar
What is the 'lpr' command used for?,Sends files to the printer queue.
How to print a file using the command line?,lpr filename
What is the 'lpq' command used for?,Shows the print queue status.
How to view pending print jobs?,lpq
What is the 'lprm' command used for?,Removes print jobs from the queue.
How to cancel a print job?,lprm job_id
What is the 'logger' command used for?,Adds custom messages to the system log.
How to write a test message to syslog?,logger 'This is a test message'
What is the 'sync' command used for?,Flushes file system buffers; ensures all data is written to disk.
Why would you run 'sync' before rebooting?,To ensure all data is safely written to disk.
What does 'reboot' command do?,Restarts the system.
How to gracefully restart a Linux system?,sudo reboot
What is the 'shutdown' command used for?,Shuts down or reboots the system at a specified time.
How to shut down the system immediately?,sudo shutdown now
What is the 'halt' command used for?,Stops the system without powering it off.
How to stop the system immediately?,sudo halt
What is the 'poweroff' command used for?,Turns off the system power.
How to completely power off the machine?,sudo poweroff
What is the 'init' command used for?,Changes the runlevel of the system.
How to switch to runlevel 3 (multi-user mode)?,sudo init 3
What is the 'runlevel' command used for?,Shows the previous and current system runlevels.
How to check the current runlevel?,runlevel
What is the 'systemctl' command used for?,Controls the systemd system and service manager.
How to list all running services?,systemctl list-units --type=service --state=running
What is the 'journalctl' command used for?,Query and display logs from the systemd journal.
How to view boot logs?,journalctl -b
What is the 'timedatectl' command used for?,Controls system time and date settings.
How to display current time and timezone?,timedatectl
How to set the system time manually?,sudo timedatectl set-time 'YYYY-MM-DD HH:MM:SS'
What is the 'localectl' command used for?,Configures locale and keyboard layout settings.
How to check current locale settings?,localectl
What is the 'hostnamectl' command used for?,Sets or displays the system hostname.
How to change the hostname?,sudo hostnamectl set-hostname new_hostname
What is the 'loginctl' command used for?,Manages user logins and sessions.
How to list active user sessions?,loginctl list-sessions
What is the 'ss' command used for?,Socket Statistics; displays socket connection info.
How to show all TCP connections?,ss -t -a
What is the 'nmcli' command used for?,Command-line tool for controlling NetworkManager.
How to list available Wi-Fi networks?,nmcli dev wifi
What is the 'ip' command used for?,"Shows/manipulates routing, network devices, interfaces, and tunnels."
How to assign an IP address to an interface?,sudo ip addr add 192.168.1.100 dev eth0
What is the 'arping' command used for?,Sends ARP requests to an IP address.
How to check if a local IP is reachable?,arping 192.168.1.1
What is the 'dig' command used for?,DNS lookup utility.
How to query A records of a domain?,dig A domain.com
What is the 'host' command used for?,Performs DNS lookups.
How to check MX records of a domain?,host -t mx domain.com
What is the 'nslookup' command used for?,Queries DNS servers interactively or non-interactively.
How to check DNS configuration interactively?,nslookup
What is the 'route' command used for?,Displays or manipulates the IP routing table.
How to display the routing table?,route -n
What is the 'ifconfig' command used for?,Configures or displays network interface parameters (deprecated in favor of 'ip').
How to display all network interfaces?,ifconfig -a
What is the 'iwconfig' command used for?,Configures wireless network interfaces.
How to view wireless interface details?,iwconfig wlan0
What is the 'arp' command used for?,Displays and manipulates the ARP cache.
How to delete an ARP entry?,arp -d 192.168.1.1
What is the 'ethtool' command used for?,Queries or controls network driver and hardware settings.
How to check speed and duplex settings of an interface?,sudo ethtool eth0
What is the 'mii-tool' command used for?,Checks or sets media-independent interface status (older alternative to ethtool).
How to check network interface status?,mii-tool eth0
What is the 'dhclient' command used for?,Obtains an IP address from a DHCP server.
How to request a new DHCP lease?,sudo dhclient eth0
What is the 'tcpdump' command used for?,Captures and analyzes network traffic.
How to capture packets on a specific port?,sudo tcpdump port 80
What is the 'wireshark' command used for?,Graphical network protocol analyzer.
How to launch Wireshark from the terminal?,wireshark
What is the 'nmap' command used for?,Network discovery and security auditing tool.
How to scan open ports on a host?,nmap host_ip
What is the 'nc' (Netcat) command used for?,Reads/writes network connections using TCP/UDP.
How to listen on a port?,nc -lvp 1234
What is the 'telnet' command used for?,Establishes a TCP connection to a remote host on a specific port.
How to test connectivity to a remote port?,telnet host_ip port
What is the 'curl' command used for?,Transfers data from or to a server using various protocols.
How to fetch a webpage using curl?,curl http://example.com
What is the 'wget' command used for?,Non-interactive downloader for files from the web.
How to download a file using wget?,wget http://example.com/file.txt
What is the 'lynx' command used for?,Text-based web browser.
How to browse a website in the terminal?,lynx http://example.com
What is the 'links' command used for?,Another text-based web browser.
How to use links to visit a site?,links http://example.com
What is the 'ftp' command used for?,File Transfer Protocol client.
How to connect to an FTP server?,ftp ftp.server.com
What is the 'lftp' command used for?,Sophisticated file transfer program supporting multiple protocols.
How to mirror a remote directory via FTP?,"lftp -e 'mirror remote_dir local_dir' -u user,pass ftp.server.com"
What is the 'rsync' command used for?,Efficient file copying and synchronization tool.
How to sync a local directory to a remote server?,rsync -avz local_dir user@remote:/remote_dir
What is the 'scp' command used for?,Secure Copy Protocol for transferring files between hosts.
How to copy a file to a remote server securely?,scp file.txt user@remote:/remote/path
What is the 'ssh' command used for?,Secure Shell for logging into remote machines.
How to execute a command remotely via SSH?,ssh user@remote 'ls /home/user'
What is the 'mosh' command used for?,Mobile Shell; supports roaming and intermittent connectivity.
How to connect to a server using mosh?,mosh user@server
What is the 'tmux' command used for?,Terminal multiplexer for managing multiple terminals in one window.
How to split windows in screen?,Ctrl+A S
What is the 'less' command used for?,Pager for viewing text files one screen at a time.
How to scroll through a file using less?,Use arrow keys or Page Up/Down
What is the 'more' command used for?,Older pager for viewing text files.
How to exit 'more'?,Press q
What is the 'head' command used for?,Displays the beginning of a file.
How to show the first 20 lines of a file?,head -n 20 filename
What is the 'tail' command used for?,Displays the end of a file.
How to follow a log file in real time?,tail -f logfile
What is the 'cat' command used for?,Concatenates and displays files.
How to concatenate two files into a third?,cat file1 file2 > combined.txt
What is the 'tac' command used for?,Concatenates and prints files in reverse order.
How to print a file from bottom to top?,tac filename
What is the 'rev' command used for?,Reverses lines character-wise.
How to reverse the characters in each line of a file?,rev filename
What is the 'nl' command used for?,Numbers lines of files.
How to add line numbers to a file while displaying?,nl filename
What is the 'fold' command used for?,Wraps lines to fit a specified width.
How to limit line width to 40 characters?,fold -w 40 filename
What is the 'fmt' command used for?,Simple text formatter for wrapping paragraphs.
How to reformat a paragraph to 75 columns?,fmt -w 75 filename
What is the 'column' command used for?,Formats input into multiple columns.
How to format whitespace-separated input into columns?,column -t filename
What is the 'expand' command used for?,Converts tabs to spaces.
How to convert tabs to spaces in a file?,expand filename
What is the 'unexpand' command used for?,Converts spaces back to tabs.
How to convert leading spaces to tabs?,unexpand -a filename
What is the 'sort' command used for?,Sorts lines of text.
How to sort a file case-insensitively?,sort -f filename
What is the 'uniq' command used for?,Reports or omits repeated lines.
How to count unique lines in a file?,sort filename | uniq -c
What is the 'wc' command used for?,"Counts lines, words, and characters."
How to count only words in a file?,wc -w filename
What is the 'grep' command used for?,Searches for patterns in files.
How to ignore case during search?,grep -i 'pattern' filename
What is the 'egrep' command used for?,Extended grep with support for extended regular expressions.
How to match multiple patterns with egrep?,egrep 'pattern1|pattern2' filename
What is the 'fgrep' command used for?,"Fixed-string grep, faster for literal searches."
How to search for exact strings without regex?,fgrep 'exact string' filename
What is the 'find' command used for?,Searches for files and directories.
How to find files modified in the last 7 days?,find /path -mtime -7 -name '*.log'
What is the 'locate' command used for?,Quickly finds files by name using a prebuilt database.
How to update the locate database?,sudo updatedb
What is the 'updatedb' command used for?,Updates the database used by the locate command.
When should you run updatedb?,After new files are added to ensure locate finds them
What is the 'whereis' command used for?,"Locates binaries, sources, and man pages for a command."
How to find location of a command's binary?,whereis command_name
What is the 'which' command used for?,Locates the executable in PATH.
How to find which binary will be executed?,which command_name
What is the 'type' command used for?,Describes how a command would be interpreted.
How to determine if a command is built-in or external?,type command_name
What is the 'apropos' command used for?,Searches man page descriptions.
How to find commands related to networking?,apropos networking
What is the 'whatis' command used for?,Displays a short description of a command.
How to get a brief explanation of a command?,whatis command_name
What is the 'clear' command used for?,Clears the terminal screen.
How to clear the terminal window?,clear
What is the 'reset' command used for?,Resets the terminal when it's messed up.
How to reset a corrupted terminal?,reset
What is the 'stty' command used for?,Changes and prints terminal line settings.
How to reset terminal settings to defaults?,stty sane
What is the 'script' command used for?,Records terminal session to a file.
How to save a terminal session to a file?,script session.log
What is the 'banner' command used for?,Prints large ASCII art text.
How to print 'Hello' in big letters?,banner Hello
What is the 'figlet' command used for?,Generates banners in large letters from text.
How to generate a fancy banner?,figlet 'Linux Rocks'
What is the 'toilet' command used for?,Advanced figlet-like tool with color and font options.
How to print colored text in the terminal?,toilet -f mono12 -F gay 'Hello'
What is the 'fortune' command used for?,Displays random quotes or fortunes.
How to get a random quote?,fortune
What is the 'cowsay' command used for?,Generates ASCII pictures of a cow saying something.
How to make a cow say 'Hello World'?,cowsay 'Hello World'
What is the 'cmatrix' command used for?,Simulates the Matrix movie effect in the terminal.
How to run the Matrix effect?,cmatrix
What is the 'sl' command used for?,Displays a steam locomotive animation when 'ls' is mistyped.
How to install and use sl?,"Install via package manager, then type 'sl'"
What is the 'pv' command used for?,Monitors data flow in pipelines.
How to watch progress of a file being copied?,pv file.txt > copy.txt
What is the 'yes' command used for?,Repeatedly outputs a string until killed.
How to fill a file with 'y' indefinitely?,yes y > file.txt (use Ctrl+C to stop)
What is the 'factor' command used for?,Factors integers into primes.
How to factor 100 into primes?,factor 100
What is the 'units' command used for?,Converts units of measurement.
How to convert miles to kilometers?,units 'miles' 'kilometers'
What is the 'bc' command used for?,Basic calculator for command-line math.
How to compute 2^10?,echo '2^10' | bc
What is the 'dc' command used for?,Reverse-polish desk calculator.
How to calculate 5 3 + using dc?,echo '5 3 + p' | dc
What is the 'seq' command used for?,Generates sequences of numbers.
How to generate numbers from 1 to 100?,seq 1 100
What is the 'shuf' command used for?,Shuffles lines of input randomly.
How to shuffle a list of names?,shuf names.txt
What is the 'shred' command used for?,Overwrites files to hide their contents.
How to securely delete a file?,shred -u filename
What is the 'mktemp' command used for?,Creates temporary files or directories.
How to create a secure temporary file?,mktemp
What is the 'touch' command used for?,Creates a new file or updates a file's timestamp.
How to create an empty file called test.txt?,touch test.txt
What is the 'ln' command used for?,Creates hard or symbolic links.
How to create a symbolic link to a file?,ln -s original_file link_name
What is the 'readlink' command used for?,Resolves symbolic links.
How to get the actual path of a symlink?,readlink -f symlink
What is the 'realpath' command used for?,Prints resolved absolute file name.
How to get canonical path of a file?,realpath filename
What is the 'basename' command used for?,Strips directory and suffix from filenames.
How to extract just the filename from a path?,basename /home/user/file.txt
What is the 'dirname' command used for?,Returns the directory portion of a file path.
How to extract the directory name from a path?,dirname /home/user/file.txt
What is the 'file' command used for?,Determines the type of a file.
How to check if a file is a script or binary?,file filename
What is the 'strings' command used for?,Prints printable strings from binary files.
How to extract text from a compiled binary?,strings binary_file
What is the 'hexdump' command used for?,"Displays files in hexadecimal, decimal, octal, or ASCII."
How to view a file in hex format?,hexdump -C filename
What is the 'xxd' command used for?,Creates a hex dump of a file or reverses it.
How to create a hex dump of a file?,xxd filename
What is the 'od' command used for?,Octal Dump; displays files in octal and other formats.
How to view a file in hexadecimal format?,od -x filename
What is the 'split' command used for?,Splits a file into smaller chunks.
How to split a file into 100MB pieces?,split -b 100m largefile part_
What is the 'csplit' command used for?,Splits a file into sections based on context.
How to split a file by pattern 'START'?,csplit filename '/START/+1' '{*}'
What is the 'join' command used for?,Joins lines of two files on a common field.
How to join two files based on a shared key?,join -1 2 -2 1 file1 file2
What is the 'paste' command used for?,Merges lines of files side by side.
How to paste two files line by line?,paste file1 file2
What is the 'comm' command used for?,Compares two sorted files line by line.
How to find lines unique to file1?,comm -23 file1 file2
What is the 'cmp' command used for?,Compares two files byte by byte.
How to check if two files are identical?,cmp file1 file2
What is the 'diff' command used for?,Compares two files line by line.
How to compare two versions of a document?,diff old.txt new.txt
What is the 'patch' command used for?,Applies differences from a diff file to a file.
How to apply a patch to a file?,patch file.txt < patch.diff
What is the 'diff3' command used for?,Compares three files line by line.
How to resolve conflicts between three versions of a file?,diff3 -m file1 file2 file3 > merged.txt
What is the 'sdiff' command used for?,Side-by-side comparison of files.
How to visually compare two files side by side?,sdiff file1 file2
What is the 'cmp' command used for?,Compares two files byte by byte.
How to find the first differing byte?,cmp -l file1 file2
What is the 'cksum' command used for?,Prints CRC checksum and byte counts of files.
How to verify data integrity of a file?,cksum filename
What is the 'md5sum' command used for?,Generates or verifies MD5 checksums.
How to compare MD5 hashes of two files?,md5sum file1 file2
What is the 'sha256sum' command used for?,Generates or verifies SHA-256 checksums.
How to verify file integrity using SHA256?,sha256sum -c checksum_file
What is the 'sha512sum' command used for?,Generates or verifies SHA-512 checksums.
How to generate a SHA-512 hash for a file?,sha512sum filename
What is the 'gpg' command used for?,GNU Privacy Guard; used for encryption and signing.
How to sign a file with GPG?,gpg --sign filename
What is the 'openssl' command used for?,Tool for SSL/TLS and cryptographic operations.
How to generate a self-signed certificate?,openssl req -x509 -newkey rsa:4096 -keyout key.pem -out cert.pem -days 365
What is the 'ssh-keygen' command used for?,"Generates, manages, and converts authentication keys for SSH."
How to generate an RSA SSH key pair?,ssh-keygen -t rsa -b 4096
What is the 'ssh-copy-id' command used for?,Copies public keys to remote hosts for password-less login.
How to copy SSH key to a server?,ssh-copy-id user@remote
